X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
53,	23,409	-12,191	-1,9304
53,	24,897	-14,768	-2,4576
53,	26,658	-17,165	-1,2097
53,	28,673	-19,353	-1,8557
53,	30,916	-21,307	-1,0161
53,	33,361	-23,002	-1,3618
53,	35,977	-24,418	-1,1648
53,	38,733	-25,537	-0,62042
53,	41,596	-26,347	-9,7766e-002
53,	44,53	-26,836	-1,1621
82,	47,5	-27,	0,327
82,	50,47	-26,836	0,54202
82,	53,404	-26,347	-1,0962
82,	56,267	-25,537	-0,33404
82,	59,023	-24,418	0,41243
82,	61,639	-23,002	1,1685
82,	64,084	-21,307	-2,3778
82,	66,327	-19,353	-1,2465
82,	68,342	-17,165	-0,69137
82,	70,103	-14,768	-0,534
82,	71,591	-12,191	-0,42399
82,	72,786	-9,4672	-0,31119
82,	73,674	-6,6281	-0,21189
82,	74,244	-3,7085	-0,15938
82,	74,49	-0,74397	-3,6788e-002
82,	74,408	2,2296	4,2269e-002
82,	73,999	5,1762	0,19492
82,	73,269	8,0599	0,25025
82,	72,226	10,846	0,30842
82,	70,883	13,5	0,41462
82,	69,256	15,99	0,51107
82,	67,365	18,287	0,61239
82,	65,232	20,361	0,6487
82,	62,885	22,188	1,5136
82,	60,351	23,746	1,9709
82,	57,66	25,015	-0,8153
82,	54,847	25,981	-0,16712
82,	51,944	26,632	1,5526
82,	48,987	26,959	-2,0439
82,	46,013	26,959	-0,18534
82,	43,056	26,632	2,3421
82,	40,153	25,981	0,33289
82,	37,34	25,015	-0,3599
82,	34,649	23,746	0,70814
82,	32,115	22,188	1,2875
82,	29,768	20,361	0,99719
82,	27,635	18,287	1,8244
82,	25,744	15,99	2,4646
82,	24,117	13,5	2,6227
82,	22,774	10,846	2,119
82,	21,731	8,0599	1,6675
82,	21,001	5,1762	1,1444
82,	20,592	2,2296	0,27533
82,	20,51	-0,74397	-0,40942
82,	20,756	-3,7085	-1,5072
82,	21,326	-6,6281	-2,0993
82,	22,214	-9,4672	-2,2467
82,	23,409	-12,191	-2,2479
82,	24,897	-14,768	-2,4253
82,	26,658	-17,165	-1,6113
82,	28,673	-19,353	-2,0555
82,	30,916	-21,307	-1,1262
82,	33,361	-23,002	-0,78407
82,	35,977	-24,418	-0,38224
82,	38,733	-25,537	0,80601
82,	41,596	-26,347	-1,2304
82,	44,53	-26,836	-0,6776
122,5	16,612	-29,551	-0,28531
121,02	18,112	-28,656	-0,15924
119,5	16,642	-29,534	-0,58774
120,98	15,112	-30,345	-1,3693e-002
122,1	17,629	-28,956	-1,1773
119,92	17,652	-28,942	0,86753
119,89	15,605	-30,095	-1,2872
122,09	15,581	-30,107	0,58004
122,5	16,612	29,551	0,52667
120,98	15,112	30,345	0,18614
119,5	16,642	29,534	0,36528
121,02	18,112	28,656	-1,5397e-002
122,09	15,581	30,107	-0,691
119,89	15,604	30,095	1,1901
119,92	17,652	28,942	-0,94791
122,1	17,629	28,956	1,1065
106,	-4,1516e-015	-33,9	0,19165
106,	-2,9961	-33,767	-1,0295
106,	-5,9687	-33,37	-0,63331
106,	-8,8946	-32,712	-0,72187
106,	-11,751	-31,798	-1,5995
106,	-14,515	-30,635	-2,1895
106,	-17,166	-29,232	-1,111
106,	-19,682	-27,601	-2,8609
106,	-22,045	-25,753	-1,296
106,	-24,235	-23,704	-2,1333
106,	-26,235	-21,47	-0,99078
106,	-28,03	-19,067	-1,3354
106,	-29,605	-16,515	-1,7053
106,	-30,949	-13,834	-1,3393
106,	-32,05	-11,045	-0,13096
106,	-32,901	-8,1688	-0,79021
106,	-33,494	-5,229	0,39082
106,	-33,825	-2,2483	-6,8222e-002
106,	-33,892	0,74994	-0,34213
106,	-33,693	3,7424	0,52393
106,	-33,23	6,7055	0,64958
106,	-32,508	9,6161	7,864e-002
106,	-31,53	12,452	0,4573
106,	-30,307	15,189	0,90347
106,	-28,846	17,809	0,16092
106,	-27,159	20,288	1,0218
106,	-25,259	22,609	1,6695
106,	-23,162	24,753	1,3525
106,	-20,884	26,703	2,2188
106,	-18,442	28,445	1,9119
106,	-15,856	29,963	2,7196
106,	-13,146	31,247	1,2645
106,	-10,333	32,287	0,5075
106,	-7,439	33,074	1,2328
106,	-4,4868	33,602	0,87736
106,	-1,4995	33,867	-0,27146
106,	1,4995	33,867	-0,12163
106,	4,4868	33,602	-3,8991e-002
106,	7,439	33,074	3,084e-003
106,	10,333	32,287	9,8086e-002
106,	13,146	31,247	0,25387
106,	15,856	29,963	0,46966
106,	18,442	28,445	0,79586
106,	20,884	26,703	0,99357
106,	23,162	24,753	1,7012
