X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
44,464	58,414	-27,944	1,175
43,256	58,988	-26,213	0,84077
45,481	64,75	-24,544	0,67183
47,781	63,006	-25,682	0,84238
44,839	64,716	-24,459	0,64211
43,975	63,184	-25,457	0,63455
45,428	60,265	-27,149	1,1696
45,258	62,675	-24,253	0,75743
46,808	61,016	-25,591	1,0352
46,57	62,726	-25,033	0,81838
46,656	61,73	-24,589	0,92513
44,22	60,776	-25,287	0,83535
45,436	66,153	-22,615	0,58652
48,681	66,607	-23,128	0,54969
45,729	66,332	-23,242	0,57902
45,999	66,853	-22,805	0,57856
46,159	64,346	-23,078	0,69434
48,17	64,788	-22,328	0,68801
47,471	64,397	-23,858	0,7553
47,901	66,237	-22,689	0,58891
46,887	66,289	-22,168	0,61089
48,	70,901	18,772	0,38135
47,204	67,949	21,951	0,55036
46,878	69,32	20,083	0,67638
49,5	69,818	20,048	0,35143
46,495	68,645	20,782	0,55663
46,855	68,434	21,361	0,51743
47,075	70,62	18,759	0,44246
48,367	67,306	20,569	0,55789
48,215	68,786	19,269	0,46446
48,525	70,244	19,229	0,38541
48,	73,447	-15,058	0,21634
47,	71,718	-15,943	0,37083
46,833	70,75	-18,359	0,54721
49,5	71,26	-18,316	0,2581
49,5	72,634	-16,38	0,21033
47,	71,081	-16,87	0,48705
47,153	72,333	-16,494	0,29759
48,324	70,801	-16,695	0,34653
