X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
31,	-24,314	26,412	14,275
31,	-26,412	24,314	13,112
31,	-28,33	22,05	12,747
31,	-30,054	19,635	12,475
31,	-31,573	17,087	12,324
31,	-32,876	14,421	12,011
31,	-33,955	11,657	12,258
31,	-34,801	8,8129	12,042
31,	-35,41	5,9089	12,073
31,	-35,777	2,9646	12,186
31,	-35,9	-6,1573e-014	12,653
31,	-35,777	-2,9646	12,174
31,	-35,41	-5,9089	11,931
31,	-34,801	-8,8129	12,102
31,	-33,955	-11,657	12,315
31,	-32,876	-14,421	12,746
31,	-31,573	-17,087	12,392
31,	-30,054	-19,635	12,905
31,	-28,33	-22,05	12,743
31,	-26,412	-24,314	13,37
31,	-24,314	-26,412	13,887
31,	-22,05	-28,33	13,03
31,	-19,635	-30,054	13,001
31,	-17,087	-31,573	16,009
31,	-14,421	-32,876	8,9482
31,	-11,657	-33,955	3,5288
31,	-8,8129	-34,801	1,8027
31,	-5,9089	-35,41	0,82414
31,	-2,9646	-35,777	0,50735
31,	41,983	30,245	-2,1228
31,	41,983	-30,245	-2,1141
31,	41,983	25,592	-1,8686
31,	41,983	20,939	-1,5363
31,	41,983	16,286	-1,8144
31,	41,983	11,633	-1,8706
31,	41,983	6,9797	-1,9467
31,	41,983	2,3266	-1,5632
31,	41,983	-2,3266	-2,0811
31,	41,983	-6,9797	-1,7566
31,	41,983	-11,633	-1,8995
31,	41,983	-16,286	-1,7168
31,	41,983	-20,939	-1,7122
31,	41,983	-25,592	-1,8843
31,	38,81	-31,598	-4,0406
31,	5,3602	-36,509	-0,6815
31,	34,031	-32,299	-5,8834
31,	29,253	-33,001	-6,2876
31,	24,474	-33,702	-6,3367
31,	19,696	-34,404	-5,3095
31,	14,917	-35,105	-3,6507
31,	10,139	-35,807	-1,8984
31,	-17,039	-32,731	28,444
31,	-12,82	-34,602	1,4816
31,	-8,4004	-35,931	0,76124
31,	-3,8497	-36,699	0,3839
